date_time,holiday,temp,rain_1h,snow_1h,clouds_all,weather_main,weather_description,traffic_volume,segment_id,is_holiday,hour,is_peak,day_of_week,lag_1,volume_change,avg_3h,avg_24h,rolling_std_3h,volume_deviation
10/28/2015 7:00,,281.04,0,0,,Rain,moderate rain,5508,,0,7:00,1,2,5687,-179,4831,3701.166667,1330.630302,1806.833333
10/28/2015 8:00,,280.93,0,0,90,Rain,moderate rain,5329,12,0,8:00,1,2,5508,-179,5508,3675,179,1654
10/28/2015 9:00,,280.85,0,0,,Rain,moderate rain,4986,,0,9:00,1,2,5329,-343,5274.333333,3663.875,265.2589929,1322.125
10/28/2015 10:00,,280.77,0,0,90,Rain,moderate rain,4642,12,0,10:00,0,2,4986,-344,4985.666667,3667.75,343.5001213,974.25
10/28/2015 11:00,,279.39,0,0,,Rain,moderate rain,4754,,0,11:00,0,2,4642,112,4794,3671.5,175.4536976,1082.5
10/28/2015 12:00,,278.01,0,0,90,Rain,light rain,4865,12,0,12:00,0,2,4754,111,4753.666667,3675.041667,111.5003737,1189.958333
10/28/2015 13:00,,276.58,0,0,90,Rain,moderate rain,4958,12,0,13:00,0,2,4865,93,4859,3682.416667,102.1322672,1275.583333
10/28/2015 14:00,,276.22,0,0,,Rain,moderate rain,5324,,0,14:00,0,2,4958,366,5049,3684.916667,242.6540748,1639.083333
10/28/2015 15:00,,275.86,0,0,90,Snow,light rain and snow,5691,12,0,15:00,0,2,5324,367,5324.333333,3682.625,366.5001137,2008.375
10/28/2015 16:00,,275.72,0,0,,Snow,light rain and snow,5770,,0,16:00,1,2,5691,79,5595,3671.583333,237.9936974,2098.416667
10/28/2015 17:00,,275.58,0,0,90,Snow,light snow,5848,12,0,17:00,1,2,5770,78,5769.666667,3651.75,78.50053078,2196.25
10/28/2015 18:00,,275.265,0,0,,Snow,light snow,4510,,0,18:00,1,2,5848,-1338,5376,3642.166667,750.9913448,867.8333333
10/28/2015 19:00,,274.95,0,0,90,Snow,light snow,3172,12,0,19:00,0,2,4510,-1338,4510,3642.791667,1338,-470.7916667
10/28/2015 20:00,,274.75,0,0,,Snow,light snow,2785,,0,20:00,0,2,3172,-387,3489,3620.791667,905.1370062,-835.7916667
10/28/2015 21:00,,274.55,0,0,90,Snow,light snow,2398,12,0,21:00,0,2,2785,-387,2785,3576.166667,387,-1178.166667
10/28/2015 22:00,,274.515,0,0,,Snow,light snow,1666,,0,22:00,0,2,2398,-732,2283,3551.583333,568.2948179,-1885.583333
